Jordan 5 Retro Supreme White,297,128.3%,$543,824371-101,$198,2015-10-16,White/Fire Red-Black,$295 - $609
Jordan 11 Retro Low Cherry 2016 (GS),39,25.0%,$150,528896-102,$120,2016-06-04,White/Varsity Red-Black,$131 - $169
Jordan 5 Retro DMP Raging Bull 3M,54,190.3%,$395,136027-061,$155,2009-05-30,Black/Varsity-Red,$427 - $473
Jordan 13 Retro Chris Paul Away,786,-7.5%,$223,823902-015,$200,2015-11-07,Black/Sunstone-Orion Blue,$164 - $206
Jordan 7 Retro Nothing But Net,524,-7.9%,$200,304775-142,$190,2015-11-14,White/University Red-Black-Bright Concord,$137 - $213
Jordan 12 Retro PSNY,321,58.3%,$566,130690-003,$300,2015-12-17,Dark Grey/Dark Grey-Black,$426 - $524
Jordan 12 Retro Nylon (GS),7,-32.6%,$147,153265-004,$190,2016-09-10,Black/Gym Red-White,$75 - $181
Jordan XX9 Low UNC,2,-35.1%,$103,828051-401,$185,2016-01-04,University Blue/Black-White,$103 - $138
Jordan 9 Retro OG (2016),1809,-1.1%,$267,302370-112,$190,2016-12-03,White/Black-True Red,$161 - $215
Jordan 5 Retro Poison Green,648,-23.7%,$209,136027-115,$190,2015-06-06,White/Infrared 23-Light Poison Green-Black,$117 - $173
Jordan 11 Retro Low IE Black Zest,10,52.2%,$188,306008-002,$115,2007-06-30,Black/Zest-White,$117 - $233
Jordan Golden Moments Pack (6/7),85,20.0%,$514,535357-935,$350,2012-08-18,Multi-Color/Multi-Color,$319 - $521
Jordan 1 Retro Opening Day White,8,125.0%,$187,325514-102,$100,2008-03-29,White/Black-Silver,$174 - $276
Jordan 13 Retro Hyper Pink (GS),6,42.3%,$226,439358-008,$130,2014-11-02,Black/Hyper Pink-White,$163 - $207
Jordan Spiz'ike Year of the Dragon,9,9.1%,$183,315371-415,$175,2012-02-24,University Blue/White-Italy Blue-Vivid Orange,$133 - $249
Jordan 1 Retro Fathers Day Black White,6,13.0%,$145,325514-011,$100,2008-06-07,Black/White,$68 - $158
Jordan 1 Retro High Camo 3M Shadow,167,-17.2%,$151,AA3993-034,$145,2017-08-01,Black/Black-Dark Stucco-White,$110 - $130
Jordan 10 Retro Drake OVO Black,594,24.4%,$383,819955-030,$225,2016-02-13,Black/Metallic Gold-Black,$260 - $300
Jordan 12 Retro The Master (GS),32,10.7%,$170,153265-013,$140,2016-02-27,Black/Rattan-White-Metallic Gold,$129 - $181
Jordan 5 Retro Metallic White (2015),533,31.6%,$243,136027-130,$190,2015-04-04,White/Metallic Silver-Black,$220 - $280
Jordan 5 Retro Laney (2013),510,-5.3%,$240,136027-189,$170,2013-11-02,White/Varsity Maize-Varsity Royal-Black,$132 - $190
Jordan 1 Retro Mid New Love (2017),2970,42.7%,$154,554724-035,$110,2017-06-01,Black/Varsity Maize-White,$130 - $184
Jordan 7 Retro Chambray,26,103.7%,$291,304775-042,$135,2006-02-25,Black/Chambray-Light Graphite,$218 - $332
Jordan 1 Retro David Letterman,374,-25.0%,$119,555088-606,$160,2016-04-30,Light Crimson/Midnight Navy-University Blue-White,$70 - $170
